date,PM25,PM10,O3,SO2,NO2,CO,AQI,grade,factor
2014-11-05,48,53,64,13,69,15,69,良,NO2
2014-11-04,55,58,57,15,84,20,84,良,NO2
2014-11-03,46,58,46,21,63,18,63,良,NO2
2014-11-02,78,60,45,19,52,20,78,良,PM2.5
2014-11-01,93,60,15,19,69,30,93,良,PM2.5
2014-10-31,78,52,19,14,94,33,94,良,NO2
2014-10-30,67,57,25,10,80,20,80,良,NO2
2014-10-29,36,53,36,9,72,18,72,良,NO2
2014-10-28,28,53,52,9,42,13,53,良,PM10
2014-10-27,60,62,48,11,43,15,62,良,PM10
2014-10-26,77,64,83,16,70,18,83,良,O3
2014-10-25,39,49,76,11,49,13,76,良,O3
2014-10-24,42,52,74,11,55,15,74,良,O3
2014-10-23,55,57,61,11,67,18,67,良,NO2
2014-10-22,62,59,58,11,43,18,62,良,PM2.5
2014-10-21,94,75,38,19,67,25,94,良,PM2.5
2014-10-20,77,72,111,16,67,20,111,轻度污染,O3
2014-10-19,32,48,64,9,33,15,64,良,O3
2014-10-18,23,39,53,9,40,15,53,良,O3
2014-10-17,29,51,50,12,57,15,57,良,NO2
2014-10-16,135,96,85,30,102,28,135,轻度污染,PM2.5
2014-10-15,128,95,90,43,106,30,128,轻度污染,PM2.5
2014-10-14,58,69,57,28,64,23,69,良,PM10
2014-10-13,42,69,43,15,35,15,69,良,PM10
2014-10-12,43,60,70,11,20,15,70,良,O3
2014-10-11,46,53,55,11,29,15,55,良,O3
2014-10-10,43,51,84,13,37,15,84,良,O3
2014-10-09,35,43,72,12,48,18,72,良,O3
2014-10-08,32,43,63,12,47,18,63,良,O3
2014-10-07,40,49,75,12,44,18,75,良,O3
2014-10-06,52,55,72,13,30,20,72,良,O3
2014-10-05,42,55,72,13,30,18,72,良,O3
2014-10-04,23,41,70,12,25,15,70,良,O3
2014-10-03,67,56,80,15,30,20,80,良,O3
2014-10-02,74,69,122,22,57,25,122,轻度污染,O3
2014-10-01,29,46,55,13,38,13,55,良,O3
2014-09-30,28,33,54,9,28,15,54,良,O3
2014-09-29,77,66,60,17,52,23,77,良,PM2.5
2014-09-28,29,36,66,9,29,15,66,良,O3
2014-09-27,54,47,71,10,38,18,71,良,O3
2014-09-26,77,60,90,11,47,20,90,良,O3
2014-09-25,65,60,93,13,63,20,93,良,O3
2014-09-24,38,36,35,11,49,18,49,优,-
2014-09-23,20,16,18,9,33,18,33,优,-
2014-09-22,22,34,54,9,22,13,54,良,O3
2014-09-21,19,29,63,11,27,13,63,良,O3
2014-09-20,73,55,50,20,63,23,73,良,PM2.5
2014-09-19,55,53,32,14,82,23,82,良,NO2
2014-09-18,29,35,44,11,48,15,48,优,-
2014-09-17,28,40,53,12,34,13,53,良,O3
2014-09-16,42,46,70,11,35,15,70,良,O3
2014-09-15,22,30,52,10,28,13,52,良,O3
2014-09-14,22,35,46,9,25,13,46,优,-
2014-09-13,22,19,43,9,35,15,43,优,-
2014-09-12,30,45,52,11,45,15,52,良,O3
2014-09-11,22,37,74,12,37,14,74,良,O3
2014-09-10,62,57,60,13,37,18,62,良,PM2.5
2014-09-09,48,45,64,11,30,15,64,良,O3
2014-09-08,54,46,80,13,38,17,80,良,O3
2014-09-07,46,43,73,11,37,16,73,良,O3
2014-09-06,57,51,80,12,35,17,80,良,O3
2014-09-05,100,65,120,12,40,23,120,轻度污染,O3
2014-09-04,142,84,135,30,60,34,142,轻度污染,PM2.5
2014-09-03,64,51,45,15,64,27,64,良,PM2.5
