id,shopName,shopAddress
1,肯德基徐汇新宜街餐厅,宜山路700号84幢A1号楼商铺101-102
1,肯德基徐汇华泾餐厅,华泾路509号7栋101商铺
1,肯德基徐汇天钥桥路店餐厅,徐汇区天钥桥路214号哈尼美食广场
1,肯德基徐汇沪闵路店餐厅,徐汇区沪闵路9001-3号上海南站北广场内
1,肯德基徐汇动力南广场餐厅,石龙路750-3号上海南站地下商场南馆
1,肯德基徐汇柳州餐厅,沪闵路9001号上海南站站厅层
1,肯德基徐汇新港汇餐厅,虹桥路1号五层536铺位
1,肯德基徐汇柳州2餐厅,南站站层（商铺号C102）
1,肯德基徐汇东安路站餐厅,东安路270号轨道交通七号线东安路站站厅层
1,肯德基徐汇新凌云餐厅,凌云路365号1F，2F
1,肯德基徐汇南站精选餐厅,沪闵路9001号上海南站候车大厅
1,肯德基徐汇太平洋精选餐厅,衡山路932号地下一层
1,肯德基徐汇港汇精选餐厅,虹桥路1号港汇广场B108M
1,肯德基徐汇动力南精选餐厅,沪闵路9001号上海南站（1F三角地A-1）一层
1,肯德基徐汇石龙餐厅,柳州路36号1幢
1,肯德基徐汇虹许餐厅,吴中路729、769号苏宁电器一层二层
1,肯德基徐汇罗香餐厅,罗香路235号
1,肯德基徐汇凯旋餐厅,宜山路站一层宜山-3-101号
1,肯德基徐汇虹凯餐厅,凯旋路1558号（轨道交通三号线虹桥路站）
1,肯德基徐汇新美罗餐厅,肇嘉浜路1111号
1,肯德基嘉定博乐餐厅,博乐路99号
1,肯德基嘉定华江路店餐厅,华江路25号
1,肯德基嘉定清河路店餐厅,清河路6号
1,肯德基嘉定城中路店餐厅,城中路2号
1,肯德基嘉定江桥餐厅,华江路25号
1,肯德基嘉定丰庄餐厅,曹安公路1685号
1,肯德基嘉定安亭餐厅,安亭镇昌吉路188号
1,肯德基嘉定昌吉路店餐厅,昌吉路188号(近墨玉路)
1,肯德基嘉定丰翔路店餐厅,丰翔路3168号家乐福超市1楼
1,肯德基嘉定马陆弘基餐厅,马陆镇沪宜公路2398/2400号
1,肯德基嘉定曹安餐厅,曹安公路1588号
1,肯德基嘉定安亭新镇餐厅,安亭镇墨玉南路1055号嘉亭荟生活广场110室
1,肯德基嘉定嘉定城北餐厅,平城路1188号
1,肯德基嘉定黄渡DT餐厅,曹安公路4671号
1,肯德基嘉定嘉定餐厅,清河路8号
1,肯德基嘉定城中餐厅,博乐路2号
1,肯德基嘉定南翔餐厅,南翔镇解放街160号
1,肯德基嘉定汽车城餐厅,安亭镇新源路535弄
1,肯德基嘉定清河餐厅,城中路162号
1,肯德基嘉定永盛餐厅,宝安公路3718号2幢1层
1,肯德基嘉定新江桥餐厅,虞姬墩路506号一、二层，101、102、103、201
1,肯德基静安北京西路店餐厅,北京西路1829号(近乌鲁木齐北路)
1,肯德基静安吴江路店餐厅,吴江路269号经典茂名商城2楼(近茂名北路)
1,肯德基静安武定餐厅,西康路400号一楼A铺
1,肯德基静安梅陇镇店(暂停营业)餐厅,南京西路1038号梅陇镇广场B1楼(近江宁路)
